tau_seconds,allan_deviation_hz,fractional_allan_deviation
1.0,7.932100357354842e-05,1.8479922743127465e-19
2.0,0.0001092948109949,2.5463112825314903e-19
3.0,0.0001408825687721,3.28223152692177e-19
5.0,0.0001968876438801,4.587017667529839e-19
6.0,0.0002222206126739,5.177216082921044e-19
8.0,0.000261416125864,6.090379082628509e-19
11.0,0.0002988639370935,6.962824749278089e-19
14.0,0.0003154575716392,7.349417291753796e-19
19.0,0.0002933463364347,6.834277669301336e-19
25.0,0.0002726288146705,6.351608282401203e-19
33.0,0.0002081398900103,4.849168459633652e-19
43.0,0.0001880621129622,4.381403615535843e-19
57.0,0.0001982156387273,4.617956814885397e-19
74.0,0.0001989674533929,4.635472323151194e-19
98.0,0.0002003036603818,4.666602794036883e-19
128.0,0.0001959076532653,4.564186197888004e-19
168.0,0.00018441664695,4.296472856678654e-19
220.0,0.0001850966548046,4.312315435632003e-19
288.0,0.0001630111568871,3.797775431255399e-19
378.0,0.0001406552261954,3.2769349811591535e-19
495.0,0.0001417704898108,3.302917992621815e-19
648.0,0.0001019027814184,2.3740944303304583e-19
849.0,9.780982581545672e-05,2.2787382195844493e-19
1112.0,8.165890033111879e-05,1.9024597539396888e-19
1457.0,0.0001140849290814,2.657909734619781e-19
1908.0,8.825756482998051e-05,2.0561930712869838e-19
2499.0,0.0001193724222287,2.7810958523752357e-19
