step,time,environment,noise,atomic_frequency,true_detuning,excitation_probability_plus,excitation_probability_minus,measured_frequency,measured_offset,estimated_offset,servo_correction,corrected_offset,fractional_frequency
1,1.0,"{'time': 1.0, 'dt': 1.0, 'elapsed_time': 1.0, 'temperature': 300.0030471707976, 'magnetic': 4.9896001589375954e-05, 'laser_power': 1.0003752255979033, 'pressure': 101325.47028235819, 'humidity': 44.90244824056731}","{'white': 3.0471707975443136e-05, 'random_walk': -1.0399841062404955e-06, 'flicker': 3.7522559790322856e-06, 'laser_phase': 1.4969552391148835e-06, 'qpn': -5.853105565961509e-14, 'temperature': 6.094341595144215e-08, 'zeeman': -5.199920531202414e-10, 'blackbody': 3.290994602069855e-08, 'aging': 5e-10, 'total': 3.4774768398737775e-05}",429228004229873.0,3.4774768398737775e-05,0.4999890751843077,0.5000109248156922,429228004229873.0,5.462407846129613e-05,5.4624077915055366e-05,2.7421287113357796e-06,3.2032639687401994e-05,1.2726121763491044e-19
2,2.0,"{'time': 2.0, 'dt': 1.0, 'elapsed_time': 2.0, 'temperature': 299.9869927493418, 'magnetic': 4.99119055820114e-05, 'laser_power': 1.0001983430218362, 'pressure': 101325.45247613228, 'humidity': 44.86174707937728}","{'white': -0.00013021795068623182, 'random_walk': -9.121437030732101e-07, 'flicker': 1.7958174194111464e-06, 'laser_phase': -2.6739872664730535e-08, 'qpn': -2.55913178272074e-14, 'temperature': -2.6014501316353747e-07, 'zeeman': -4.4047208994300703e-10, 'blackbody': -1.4046917118959427e-07, 'aging': 1e-09, 'total': -0.00012976107152459302}",429228004229873.0,-9.772843183719103e-05,0.5000307022923314,0.4999692977076686,429228004229873.0,-0.00015351146165687446,-8.413294804344008e-05,-4.212549176197682e-06,-9.351588266099334e-05,-3.576454941058818e-19
3,3.0,"{'time': 3.0, 'dt': 1.0, 'elapsed_time': 3.0, 'temperature': 300.0088230685694, 'magnetic': 4.999232760809395e-05, 'laser_power': 1.000221441219525, 'pressure': 101326.00704721312, 'humidity': 44.88788760490234}","{'white': 8.793979748628286e-05, 'random_walk': -1.3435176764426182e-07, 'flicker': 1.9463891652761117e-06, 'laser_phase': 1.7940601014583671e-06, 'qpn': 1.4025280267561368e-14, 'temperature': 1.7646137138854103e-07, 'zeeman': -3.836195953025543e-11, 'blackbody': 9.529334434537888e-08, 'aging': 1.5000000000000002e-09, 'total': 9.181911135317275e-05}",429228004229873.0,-1.6967713078205968e-06,0.5000005330564274,0.4999994669435725,429228004229873.0,-2.6652821373540636e-06,-3.321565687540798e-05,-1.673327749171158e-06,-2.3443558649438894e-08,-6.209478671216131e-21
4,4.0,"{'time': 4.0, 'dt': 1.0, 'elapsed_time': 4.0, 'temperature': 299.99145070860214, 'magnetic': 5.0029432858259386e-05, 'laser_power': 0.9997309278581341, 'pressure': 101326.4261314195, 'humidity': 44.88763355725498}","{'white': -8.592924628832382e-05, 'random_walk': 2.3439901643823702e-07, 'flicker': -3.042662755396493e-06, 'laser_phase': 1.3980970771361727e-06, 'qpn': -1.4977773295875868e-15, 'temperature': -1.7098582795711084e-07, 'zeeman': 1.4716429129691998e-10, 'blackbody': -9.232840029115678e-08, 'aging': 2e-09, 'total': -8.760058001560065e-05}",429228004229873.0,-8.76240235742501e-05,0.50002752789886,0.49997247210114,429228004229873.0,-0.00013763949429992928,-9.785898480054459e-05,-4.925065942388097e-06,-8.269895763186199e-05,-3.2066755417527808e-19
5,5.0,"{'time': 5.0, 'dt': 1.0, 'elapsed_time': 5.0, 'temperature': 299.9982095540055, 'magnetic': 4.996045691807121e-05, 'laser_power': 1.0003556521345645, 'pressure': 101326.32034405008, 'humidity': 44.868464495001724}","{'white': -1.8486236354526058e-05, 'random_walk': -4.4653052796570435e-07, 'flicker': 3.3743102135133068e-06, 'laser_phase': -2.459413092468027e-07, 'qpn': -1.2849834664893216e-14, 'temperature': -3.580891989031443e-08, 'zeeman': -1.9771540964395186e-10, 'blackbody': -1.933664363384247e-08, 'aging': 2.5e-09, 'total': -1.5857241270008896e-05}",429228004229873.0,-9.855619890187088e-05,0.5000309623430238,0.49996903765697615,429228004229873.0,-0.00015481171511913527,-0.00013306612717896554,-6.7120362867449375e-06,-9.184416261512594e-05,-3.6067477795839686e-19
6,6.0,"{'time': 6.0, 'dt': 1.0, 'elapsed_time': 6.0, 'temperature': 299.99655138654566, 'magnetic': 5.001487412908441e-05, 'laser_power': 1.0005205915600182, 'pressure': 101326.50030347487, 'humidity': 44.892636255252086}","{'white': -3.521335504882296e-05, 'random_walk': 8.577865758764432e-08, 'flicker': 4.864099513982368e-06, 'laser_phase': 6.568843531072888e-07, 'qpn': 1.2924630090236481e-14, 'temperature': -6.897226908677113e-08, 'zeeman': 7.437064542203481e-11, 'blackbody': -3.724438309326172e-08, 'aging': 3.0000000000000004e-09, 'total': -2.9709734792755643e-05}",429228004229873.0,-0.00012155389740788159,0.5000381872830741,0.4999618127169259,429228004229873.0,-0.00019093641537057393,-0.00016883318029733914,-8.534155578723085e-06,-0.0001130197418291585,-4.448368081508446e-19
7,7.0,"{'time': 7.0, 'dt': 1.0, 'elapsed_time': 7.0, 'temperature': 300.02150374246855, 'magnetic': 4.9973786403573416e-05, 'laser_power': 1.0002384406174814, 'pressure': 101326.06341104124, 'humidity': 44.92558250127582}","{'white': 0.00021416476008704612, 'random_walk': -3.2063635879697125e-07, 'flicker': 1.8164759172264455e-06, 'laser_phase': -1.295159522540274e-06, 'qpn': 1.847938267726487e-14, 'temperature': 4.3007484937106713e-07, 'zeeman': -1.3106798213293294e-10, 'blackbody': 2.322653900444031e-07, 'aging': 3.5000000000000003e-09, 'total': 0.00021503114931284805}",429228004229873.0,0.00010201140748368955,0.4999679521711886,0.5000320478288115,429228004229873.0,0.00016023914405721706,3.454573634615064e-05,1.6416994007206339e-06,0.00010036970808296891,3.7331940711725095e-19
8,8.0,"{'time': 8.0, 'dt': 1.0, 'elapsed_time': 8.0, 'temperature': 300.0113915337958, 'magnetic': 4.996317806570073e-05, 'laser_power': 0.999806440348126, 'pressure': 101325.62990221257, 'humidity': 44.95960049064154}","{'white': 0.00011289722927208916, 'random_walk': -4.3458381645184633e-07, 'flicker': -2.5659540593088384e-06, 'laser_phase': -1.3122026096367593e-06, 'qpn': 1.951778363474103e-14, 'temperature': 2.278306759160387e-07, 'zeeman': -1.8410967149636185e-10, 'blackbody': 1.2303557259235383e-07, 'aging': 4e-09, 'total': 0.0001089391709450464}",429228004229873.0,0.00020930887902801532,0.499934243676521,0.5000657563234789,429228004229873.0,0.0003287816173948299,0.0002163936466193917,1.0777373643706567e-05,0.00019853150538430876,7.659836127997627e-19
9,9.0,"{'time': 9.0, 'dt': 1.0, 'elapsed_time': 9.0, 'temperature': 300.00754889698896, 'magnetic': 5.0018598150560225e-05, 'laser_power': 0.9994833634770753, 'pressure': 101325.73338482986, 'humidity': 44.96624277128575}","{'white': 7.432541712034424e-05, 'random_walk': 1.085704518533486e-07, 'flicker': -5.636907189821425e-06, 'laser_phase': 3.694962216082292e-07, 'qpn': 3.5005742742218463e-15, 'temperature': 1.509779397792954e-07, 'zeeman': 9.299075280111456e-11, 'blackbody': 8.153116476812363e-08, 'aging': 4.500000000000001e-09, 'total': 6.940367870278519e-05}",429228004229873.0,0.00026793518408709395,0.4999158256798009,0.500084174320199,429228004229873.0,0.00042087160099527066,0.0003427679860691894,1.7164644213410292e-05,0.00025077053987368367,9.805315516409618e-19
10,10.0,"{'time': 10.0, 'dt': 1.0, 'elapsed_time': 10.0, 'temperature': 300.0023177856518, 'magnetic': 5.010518308383824e-05, 'laser_power': 0.9996209930776089, 'pressure': 101326.0581739148, 'humidity': 44.97029686933448}","{'white': 2.1868859672901294e-05, 'random_walk': 9.799992298015384e-07, 'flicker': -3.9552387269658724e-06, 'laser_phase': 1.0805244949502333e-06, 'qpn': 2.027372084666744e-15, 'temperature': 4.6355713036518865e-08, 'zeeman': 5.259154191911869e-10, 'blackbody': 2.503237513628006e-08, 'aging': 5e-09, 'total': 2.0051058676306562e-05}",429228004229873.0,0.00027082159854999025,0.4999149188859667,0.5000850811140333,429228004229873.0,0.00042540557016648717,0.0003938408225970241,1.979705420432143e-05,0.00025102454434566883,9.910946302997072e-19
